:20,:22A,:22C,:30T,:52A,:82A,:87A,:77H,:30V,:36,:32B,:57A,:33B,:53A,:56,:57D,:58A,:24D
KTPP27663043,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,15/03/2019,8.57168,USD 1030719.76,SOGEUS33XXX,NOK 8834999.99,SOGEUS33XXX,,SOGEUS33XXX,SOGEFRPPHCM,BROK
KTPP27663063,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,15/03/2019,3.59609,ILS 1908000.02,POALILITXXX,USD 530576.27,BCMRMXMMXXX,CHASUS33XXX,BCMRMXMMXXX,SOGEFRPPHCM,BROK
KTPP27663078,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,19/03/2019,19.291043,USD 2494330.84,SOGEUS33XXX,MXN 48118243.51,SOGEUS33XXX,NDEANOKKXXX,SOGEUS33XXX,SOGEFRPPHCM,BROK
KTPP27663044,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,18/03/2019,8.5706,NOK 8834999.99,NDEANOKKXXX,USD 1030849.65,SOGEUS33XXX,BREXPLPWXXX,SOGEUS33XXX,SOGEFRPPHCM,BROK
KTPP27663060,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,18/03/2019,3.7992,PLN 18030181.05,SOGEPLPW,USD 4745783.6,CHASGB2LXXX,CTBAAU2SXXX,CHASGB2LXXX,SOGEFRPPHCM,BROK
KTPP27663053,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,15/03/2019,111.70545,USD 23211728.77,SOGEUS33,JPY 2592876608,SOGEUS33XXX,,SOGEUS33XXX,SOGEFRPPHCM,BROK
KTPP27663034,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,18/03/2019,14.431978,ZAR 182734077.91,ABSAZAJJXXX,USD 12661748.65,SOGEPLPW,CHASUS33XXX,SOGEPLPW,SOGEFRPPHCM,BROK
KTPP27663059,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,15/03/2019,3.7995,USD 4745408.88,SOGEUS33XXX,PLN 18030181.05,SOGEUS33XXX,HANDSESSXXX,SOGEUS33XXX,SOGEFRPPHCM,BROK
KTPP27663066,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,18/03/2019,9.301296,SEK 11083511.35,ESSESESSXXX,USD 1191609.36,ABSAZAJJXXX,CHASUS33XXX,ABSAZAJJXXX,SOGEFRPPHCM,BROK
KTPP27663061,NEWT,NEWGL1113SOGEPP,14/03/2019,NEWGGB2L,NEWGGB2L,SOGEFRPPHCM,ISDA 01/06/2001,15/03/2019,14.4268,USD 461276.93,SOGEUS33XXX,ZAR 6654750,ESSESESSXXX,CHASUS33XXX,ESSESESSXXX,SOGEFRPPHCM,BROK
